xy_group_id,lon,lat,pais_grupo,estado_xy_subset,tipo_grupo_original,n_registros_original,n_registros_subset,n_registros,n_anios,anio_min,anio_max,distancia_minima_2020,incluye_2020,score_temporal,pais_dominante,id_fuente_dominante,fuente_dominante,tipo_fuente_dominante,detalle_tipo_fuente_dominante,nivel_0_dominante,nivel_1_dominante,nivel_2_dominante,valores_nivel_0,valores_nivel_1,valores_nivel_2,n_nivel0,n_nivel1,n_nivel2,conf_integrada_promedio_observada,n_conf_integrada_observada,n_fuentes,ids_fuente_presentes,fuentes_presentes,tipos_fuente_presentes,score_directitud_fuente_promedio,score_trazabilidad_fuente_promedio,score_temporal_metadata_fuente_promedio,score_fuente_promedio,score_fuente_minimo,score_fuente_maximo,n_fuentes_anio_inconsistente,n_fuentes_pais_inconsistente,pct_conf_integrada_observada,flag_confianza_imputada,score_confiabilidad_base,origen_score_confiabilidad,conf_integrada_promedio,incluye_2018_2022,n_extract_units_spectral,n_spectral_rows,spectral_severity_order_max,spectral_alert_count_sum,pct_extract_units_sin_alerta,pct_extract_units_alerta_baja,pct_extract_units_alerta_media,pct_extract_units_alerta_alta,pct_extract_units_baja_disponibilidad,pct_extract_units_sin_datos,pct_extract_units_revision_espectral,s2yr_months_obs_median,s2yr_obs_total_median,s2yr_obs_mean_median,s2yr_cloudprob_median,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndre_mean,s2yr_ndre_median,spectral_alert_level_max,score_espectral,n_registros_pais_clase,estado_pais_clase,tipo_conflicto,severidad_conflicto,score_prioridad_revision,score_espacial,flag_conflicto_activo,score_consistencia_clase,score_viabilidad_clase,flag_clase_residual,score_claridad_semantica,score_nivel_leyenda,score_tematico,score_confiabilidad,score_representatividad,score_fuente,score_aptitud_raw,score_cap,cap_reason,score_aptitud_total,categoria_aptitud_preliminar,categoria_uso_actividad_1_8,definicion_categoria_aptitud,accion_recomendada,razon_categoria_aptitud,id_nivel_0,nivel_0,id_nivel_1,nivel_1,id_nivel_2,nivel_2,Clase,GranClase,nombre_clase,nombre_gran_clase,geometry
SRC10_CRI_2021_A1__XY__005386f57860,-85.568348,10.146562,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,11.0,30.0,2.5,2.0,0.5785927884588034,0.5763519193051275,0.6311738308867423,0.6306329773378483,0.4494896845776343,0.4564609761341646,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,414,Bosque seco o deciduo,4,1,Bosque secundario deciduo,Forestal,POINT (-85.56834759388562 10.146562473757056)
SRC10_CRI_2021_A1__XY__006386528810,-85.227341,10.241772,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras húmedas y agua,Humedales,Humedales,Tierras húmedas y agua,Humedales,Humedales,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,32.0,2.6666666666666665,3.75,-0.0200973114560825,-0.059357367859605,-0.0411359601677623,-0.0717076646188306,-0.2195162620781039,-0.2347696495347935,media,45.0,409,moderado,,,0.0,100.0,0,100.0,80.0,0,100.0,100.0,94.0,94.75,85.0,85.0,87.775,100.0,,87.775,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,20,Tierras húmedas y agua,22,Humedales,220,Humedales,11,11,Humedal Palustre,Humedal Palustre,POINT (-85.22734141372081 10.241772438183984)
SRC10_CRI_2021_A1__XY__00d7bdd2ec0c,-85.250228,10.158422,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,36.0,3.0,1.0,-0.146627925333685,-0.1435239675455946,-0.1824396084556685,-0.20313530338396,-0.3417982751266575,-0.4193405510175941,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.25022781017749 10.158422411032861)
SRC10_CRI_2021_A1__XY__00e85cfa9346,-85.201802,10.183945,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,42.0,3.5,6.75,0.2314926565553252,0.2535086328829927,0.3107887815932589,0.3501424872083521,0.1496330581762072,0.1326927426180492,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.20180214957865 10.183944889888663)
SRC10_CRI_2021_A1__XY__02c3be325739,-85.235198,10.089696,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,43.0,3.583333333333333,2.25,-0.1277163394707834,-0.1241151950526323,-0.004410597522004,-0.0242587401815544,-0.1722625694800972,-0.1657310087024222,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.23519763514372 10.089696368837561)
SRC10_CRI_2021_A1__XY__02eba43170e0,-85.255138,10.525717,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Artificializado y otra tierras,Urbano,Urbano,Artificializado y otra tierras,Urbano,Urbano,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,41.0,3.4166666666666665,14.0,0.031178944243181,0.0392066103548092,0.0380678174882813,0.0418438397668656,-0.0154932246465925,-0.0154789912573196,media,45.0,5928,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,10,Artificializado y otra tierras,11,Urbano,110,Urbano,16,16,Edificaciones,Edificaciones,POINT (-85.25513844356931 10.525716705515558)
SRC10_CRI_2021_A1__XY__030c095c2ccc,-85.262787,10.44606,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,36.0,3.0,1.0,0.6719113593253732,0.7120025483339678,0.6944132533550967,0.7361743275487255,0.4636113510173503,0.4657752548480219,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,414,Bosque seco o deciduo,4,1,Bosque secundario deciduo,Forestal,POINT (-85.26278654799309 10.446059997303196)
SRC10_CRI_2021_A1__XY__033d769a84f6,-85.273656,10.334171,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,43.0,3.583333333333333,1.0,0.6852403714755684,0.703465212082649,0.7165926883212529,0.7263256341119071,0.4830689709656757,0.4919296037657777,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,414,Bosque seco o deciduo,4,1,Bosque secundario deciduo,Forestal,POINT (-85.27365632351378 10.33417145603443)
SRC10_CRI_2021_A1__XY__038d60850700,-85.502618,10.445735,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,Tierras de Cultivo y Pastos,Cultivos intensivos No-Arbóreos,Otros cultivos intensivos no arbóreos,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,42.0,3.5,7.25,0.1284787489602829,0.1153730873518153,0.1617395209248591,0.1526720766451716,0.0879339618765539,0.0707209259345328,media,45.0,8489,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,30,Tierras de Cultivo y Pastos,31,Cultivos intensivos No-Arbóreos,315,Otros cultivos intensivos no arbóreos,9,9,Cultivos,Cultivos,POINT (-85.50261827003199 10.44573529895834)
SRC10_CRI_2021_A1__XY__0393ee09cc8e,-85.665795,10.538185,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Artificializado y otra tierras,Urbano,Urbano,Artificializado y otra tierras,Urbano,Urbano,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,10.0,12.0,1.0,15.5,-0.0111645846226347,-0.0138468429160667,0.0056651302971648,0.0030131256084329,0.0050622658078127,-0.0006869139960578,media,45.0,5928,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,10,Artificializado y otra tierras,11,Urbano,110,Urbano,16,16,Edificaciones,Edificaciones,POINT (-85.66579495727402 10.538185186914474)
SRC10_CRI_2021_A1__XY__04da938c978f,-85.723633,10.325179,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,43.0,3.583333333333333,2.0,0.6809451235648162,0.7115017222979325,0.7134432574607038,0.7495668259740842,0.4983294693497422,0.508170163051415,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,412,Latifoliado secundario húmedo,2,1,Bosque secundario,Forestal,POINT (-85.72363270702014 10.325179491829795)
SRC10_CRI_2021_A1__XY__05500ff37a7b,-85.277125,10.527405,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,39.0,3.25,1.0,0.6834171868181976,0.7087840599828009,0.7114584342344005,0.7387890024847805,0.4628797680710356,0.441404739699902,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,414,Bosque seco o deciduo,4,1,Bosque secundario deciduo,Forestal,POINT (-85.27712546048996 10.527404979440938)
SRC10_CRI_2021_A1__XY__064bbe98c0ba,-85.704621,10.321661,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,45.0,3.75,2.5,0.6654019665074603,0.711164056486168,0.6949136360855345,0.7365681984848361,0.4781483981760244,0.5088662609291617,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,412,Latifoliado secundario húmedo,2,1,Bosque secundario,Forestal,POINT (-85.70462121222354 10.321661084704491)
SRC10_CRI_2021_A1__XY__0677f99ee083,-85.254306,10.122206,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,40.0,3.333333333333333,5.5,-0.0005020356934864,0.0054644644427925,0.1626304721643337,0.1281715362051889,0.0970796479277986,0.0854157330605185,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.2543060531915 10.12220551787113)
SRC10_CRI_2021_A1__XY__068304ccb434,-85.67234,10.202387,Costa Rica,conflicto_tematico_subset,conflicto_tematico,2,2,2,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Latifoliado secundario húmedo,Tierras Forestales | Tierras de Cultivo y Pastos,Bosque latifoliado y mixto | Cultivos intensivos No-Arbóreos,Latifoliado secundario húmedo | Otros cultivos intensivos no arbóreos,2,2,2,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,54.75,derivado_a3_sin_conf_integrada,54.75,1,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,36.0,3.0,1.0,0.8266395741327455,0.867250955997759,0.8435778029375512,0.8779354312376806,0.6083126411260406,0.6298950290324198,sin_alerta,100.0,2519,suficiente,conflicto_tematico_xy,alta,100.0,0.0,1,0.0,100.0,0,100.0,40.0,54.0,54.75,100.0,85.0,65.525,100.0,,65.525,referencia_contextual,referencia_contextual,Aptitud contextual.,Usar como apoyo o referencia.,55 <= score_aptitud_total < 70,40,Tierras Forestales,41,Bosque latifoliado y mixto,412,Latifoliado secundario húmedo,2,1,Bosque secundario,Forestal,POINT (-85.67234034109009 10.202387454106777)
SRC10_CRI_2021_A1__XY__06d8a6e27e4f,-85.333919,10.38229,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,43.0,3.583333333333333,1.0,0.6875545199653876,0.6891134686671172,0.715720811784413,0.7194002023578094,0.47674334230639,0.4593955272877768,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,414,Bosque seco o deciduo,4,1,Bosque secundario deciduo,Forestal,POINT (-85.33391916689784 10.382290299879578)
SRC10_CRI_2021_A1__XY__074f58a10057,-85.241539,10.093293,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Manglares,Manglares,Tierras Forestales,Manglares,Manglares,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,43.0,3.583333333333333,3.75,-0.0732815113749341,-0.0610706004841292,0.0068759404605161,0.0224090720237689,-0.105379056774257,-0.1122671543398819,media,45.0,800,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,43,Manglares,430,Manglares,6,1,Manglar,Forestal,POINT (-85.24153888522098 10.093292723831519)
SRC10_CRI_2021_A1__XY__07e6fbd06c07,-85.762797,10.534886,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras húmedas y agua,Cuerpos de Agua,Cuerpos de Agua,Tierras húmedas y agua,Cuerpos de Agua,Cuerpos de Agua,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,44.0,3.6666666666666665,0.5,-0.3981775085666051,-0.3189658337526984,-0.3240487121099828,-0.2635877635877635,-0.2639758268120895,-0.1968479117415287,media,45.0,150,moderado,,,0.0,100.0,0,100.0,80.0,0,100.0,100.0,94.0,94.75,85.0,85.0,87.775,100.0,,87.775,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,20,Tierras húmedas y agua,21,Cuerpos de Agua,210,Cuerpos de Agua,10,10,Agua,Agua,POINT (-85.76279737306568 10.534885794564023)
SRC10_CRI_2021_A1__XY__07fcf01f2368,-85.679085,10.530749,Costa Rica,xy_unico_en_subset,sin_conflicto,1,1,1,1,2021,2021,0,1,100.0,Costa Rica,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,SINAC SRC10 2021,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,Tierras Forestales,Bosque latifoliado y mixto,Bosque seco o deciduo,1,1,1,0.0,0,1,10,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",nueva_fuente,85.0,85.0,100.0,85.0,85.0,85.0,0,0,0.0,1,94.75,derivado_a3_sin_conf_integrada,94.75,1,1,1,2,3,0.0,0.0,100.0,0.0,0.0,0.0,100.0,12.0,42.0,3.5,2.5,0.6040158209450347,0.6132212385711027,0.6476471090252082,0.6522744289142934,0.4338677272476532,0.4682507818016745,media,45.0,2519,suficiente,,,0.0,100.0,0,100.0,100.0,0,100.0,100.0,100.0,94.75,100.0,85.0,90.475,100.0,,90.475,entrenamiento_alta,entrenamiento,Alta aptitud para entrenamiento.,Usar como entrenamiento prioritario.,score_aptitud_total >= 85,40,Tierras Forestales,41,Bosque latifoliado y mixto,414,Bosque seco o deciduo,4,1,Bosque secundario deciduo,Forestal,POINT (-85.67908460901243 10.530748685694778)
