original_record_row_id,extract_id,id_registro,id_muestra_original,xy_group_id,xy_year_group_id,xy_class_group_id,Longitud,Latitud,Pais_es,Pais_cod3,Fuente,id_fuente,Año,Clase,GranClase,nombre_clase,nombre_gran_clase,n_records_extract_unit,s2_n_month_rows,s2_year_ref,s2_year_extraction,s2yr_months_obs,s2yr_months_zero_obs,s2yr_obs_total,s2yr_obs_mean,s2yr_obs_median,s2yr_cloudprob_median,s2yr_cloudprob_mean,s2yr_ndvi_mean,s2yr_ndvi_median,s2yr_ndvi_min,s2yr_ndvi_max,s2yr_ndvi8a_mean,s2yr_ndvi8a_median,s2yr_ndvi8a_min,s2yr_ndvi8a_max,s2yr_ndre_mean,s2yr_ndre_median,s2yr_ndre_min,s2yr_ndre_max,n_records_same_extract_id,n_unique_class_code_extract_unit,n_unique_class_group_code_extract_unit,class_codes_extract_unit,class_names_extract_unit,class_group_codes_extract_unit,class_group_names_extract_unit,flag_context_multiple_records_extract_unit,flag_context_multiple_class_code,flag_context_multiple_class_group_code,flag_context_thematic_conflict,audit_country,audit_country_code,audit_source,audit_source_id,audit_year,audit_class_code,audit_class_group_code,audit_class_name,audit_class_group_name,expected_signal_group,flag_no_spectral_data,flag_low_months_obs,flag_low_total_obs,flag_high_cloudprob,class_rule_alert_level,class_rule_reason,flag_class_rule_high,flag_class_rule_medium,flag_class_rule_triggered,flag_ndvi_rare_by_class_year,flag_ndre_rare_by_class_year,ndvi_class_iqr_low,ndvi_class_iqr_high,ndre_class_iqr_low,ndre_class_iqr_high,flag_rare_spectral_value,flag_conflict_and_rare,flag_conflict_and_class_rule,spectral_alert_count,spectral_alert_level,recommended_action,main_alert_reason,flag_spectral_class_review,flag_spectral_priority,audit_scope,audit_interpretation
2,S2SR_SRC15_PAN_2021_000004757,SRC15_0000002,PAN_FCL_0000005,SRC15_PAN_2021__XY__83a36e9a9e88,SRC15_PAN_2021__XYY__6303ad86b33e,SRC15_PAN_2021__XYC__b8ab6fb8c2f1,-82.248073,8.17928,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,1,12,2021.0,2021.0,10,2,28,2.3333333333333335,2.0,10.25,11.55,0.8080537470527622,0.847695930212011,0.5298932581162545,0.8941396732763639,0.822336684848748,0.8556594978404296,0.5645016165932917,0.9070185215112188,0.5852889026006697,0.6194552543739653,0.3485628207184214,0.6682574333959723,1,1,1,13,Playa y arenal natural,5,Suelo desnudo y rasgos naturales,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,no_vegetacion_esperada,0,0,0,0,high,Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,0,True,False,False,-0.7797486140699612,1.4715573024174478,-0.5080150364048008,0.9966930056781442,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
3,S2SR_SRC15_PAN_2021_000005920,SRC15_0000003,PAN_FCL_0000006,SRC15_PAN_2021__XY__9b934554f2a9,SRC15_PAN_2021__XYY__8b05ad0ab24c,SRC15_PAN_2021__XYC__ef741dbb088a,-82.186807,8.179465,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,27,4,Superficie de agua,Agua y acuicultura,1,12,2021.0,2021.0,11,1,29,2.4166666666666665,2.0,25.0,26.272727272727273,0.6004906072339258,0.724228190448782,0.2346152662650796,0.7810218978102191,0.6123897530271575,0.7320202456154118,0.252104303162889,0.7963329045378064,0.3786046460807481,0.4211543772438553,0.1164150769637033,0.533533072136437,1,1,1,27,Superficie de agua,4,Agua y acuicultura,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,27,4,Superficie de agua,Agua y acuicultura,agua_baja_vegetacion,0,0,0,0,high,Agua/acuicultura con NDVI > 0.35 o NDRE > 0.08,1,0,True,False,False,-2.065912592269155,2.1511303348230357,-1.765093039763254,1.7414772649807573,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Agua/acuicultura con NDVI > 0.35 o NDRE > 0.08,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
18,S2SR_SRC15_PAN_2021_000004232,SRC15_0000018,PAN_FCL_0000403,SRC15_PAN_2021__XY__4fe9d9510b9e,SRC15_PAN_2021__XYY__e6ae3d0010f8,SRC15_PAN_2021__XYC__e17180e3bf37,-82.275374,8.201803,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,11,1,Vegetación baja inundable,Bosque y vegetación natural,1,12,2021.0,2021.0,9,3,25,2.0833333333333335,2.0,4.5,7.277777777777778,0.6968818631338839,0.7339916360680244,0.4415377008071323,0.8315580199534391,0.7257172724191452,0.7696737345875692,0.4831078865081004,0.8438247894146995,0.4980785402075489,0.5322112621002046,0.320592409580289,0.5825799076231307,1,1,1,11,Vegetación baja inundable,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,11,1,Vegetación baja inundable,Bosque y vegetación natural,vegetacion_humeda_mixta,0,0,0,0,medium,Vegetacion inundable con senal extrema para clase mixta,0,1,True,False,False,,,,,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Vegetacion inundable con senal extrema para clase mixta,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
21,S2SR_SRC15_PAN_2021_000005173,SRC15_0000021,PAN_FCL_0001360,SRC15_PAN_2021__XY__5e46511f6164,SRC15_PAN_2021__XYY__ea805be77a37,SRC15_PAN_2021__XYC__725156b4ea6a,-82.223238,8.220052,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,29,6,Infraestructura,Urbano e infraestructura,1,12,2021.0,2021.0,10,2,24,2.0,1.5,26.5,26.0,0.5847872294101275,0.5845520620824627,0.4454551926768292,0.7479572595851666,0.5889729173383723,0.5928455461019118,0.4557748702464823,0.7521631644004945,0.3931763557193856,0.39356491298685753,0.2994539735989804,0.5039787798408489,1,1,1,29,Infraestructura,6,Urbano e infraestructura,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,29,6,Infraestructura,Urbano e infraestructura,no_vegetacion_urbana,0,0,0,0,high,Urbano/infraestructura con senal vegetal alta,1,0,True,False,False,-0.056765943635834926,1.1051222739843483,-0.002199398818710341,0.7509626666554787,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Urbano/infraestructura con senal vegetal alta,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
22,S2SR_SRC15_PAN_2021_000005216,SRC15_0000022,PAN_FCL_0001361,SRC15_PAN_2021__XY__0aae1d8a6cd7,SRC15_PAN_2021__XYY__d646fd73f335,SRC15_PAN_2021__XYC__c5a6c2e49d45,-82.220968,8.220059,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,28,6,Área poblada,Urbano e infraestructura,1,12,2021.0,2021.0,10,2,26,2.1666666666666665,2.0,27.75,29.65,0.4114574130749304,0.41965949641620426,0.2568958419102511,0.5539002925795378,0.44829127394795076,0.4549349295215798,0.2945085010748484,0.5920433619590236,0.2977967400475507,0.29881955016554934,0.1979899497487436,0.38200133330513,1,1,1,28,Área poblada,6,Urbano e infraestructura,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,28,6,Área poblada,Urbano e infraestructura,no_vegetacion_urbana,0,0,0,0,medium,Urbano/infraestructura con senal vegetal moderada,0,1,True,False,False,-0.10240331514649498,1.0948067477170476,-0.07690664887845819,0.7769808717742264,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Urbano/infraestructura con senal vegetal moderada,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
30,S2SR_SRC15_PAN_2021_000003685,SRC15_0000030,PAN_FCL_0033666,SRC15_PAN_2021__XY__91ed09f9c221,SRC15_PAN_2021__XYY__c83fa59dedfb,SRC15_PAN_2021__XYC__859105007ca7,-82.30364,8.513701,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,31,4,Estanque para acuicultura,Agua y acuicultura,1,12,2021.0,2021.0,10,2,24,2.0,1.5,4.5,5.0,0.4483649524536397,0.4758715270613334,0.208323012137726,0.6298701298701299,0.4899829031001861,0.5151424812586548,0.2691516121655614,0.6656891495601174,0.2891768331838435,0.2818279076280876,0.1743546339399069,0.3955773955773956,1,1,1,31,Estanque para acuicultura,4,Agua y acuicultura,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,31,4,Estanque para acuicultura,Agua y acuicultura,agua_baja_vegetacion,0,0,0,0,high,Agua/acuicultura con NDVI > 0.35 o NDRE > 0.08,1,0,True,False,False,,,,,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Agua/acuicultura con NDVI > 0.35 o NDRE > 0.08,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
35,S2SR_SRC15_PAN_2021_000011875,SRC15_0000035,PAN_FCL_0000030,SRC15_PAN_2021__XY__396934f456d8,SRC15_PAN_2021__XYY__f93ce1ec3c32,SRC15_PAN_2021__XYC__67a8a625b0b7,-81.907696,8.182449,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,1,12,2021.0,2021.0,11,1,62,5.166666666666667,4.0,12.5,11.5,0.6241228406869014,0.6308051018751437,0.4536558847512911,0.7196361225117038,0.6557271205674675,0.6526908191705949,0.5029673590504451,0.7444444528019183,0.43702466788819144,0.4332141061017189,0.3113268608414239,0.5015114252173575,1,1,1,13,Playa y arenal natural,5,Suelo desnudo y rasgos naturales,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,no_vegetacion_esperada,0,0,0,0,high,Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,0,True,False,False,-0.7797486140699612,1.4715573024174478,-0.5080150364048008,0.9966930056781442,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
45,S2SR_SRC15_PAN_2021_000012551,SRC15_0000045,PAN_FCL_0000067,SRC15_PAN_2021__XY__978bac23f77f,SRC15_PAN_2021__XYY__f999da00f7db,SRC15_PAN_2021__XYC__01b79f7f7ef3,-81.878199,8.184775,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,11,1,72,6.0,6.0,4.0,4.2727272727272725,0.7280962699251682,0.7932533159619131,0.4333021152488978,0.8665164200622235,0.7551694503398402,0.8136382131800088,0.5064035146133722,0.8792354174601233,0.5206010431771949,0.5710225426078965,0.3341448941028311,0.6312787762882406,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,False,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
53,S2SR_SRC15_PAN_2021_000006847,SRC15_0000053,PAN_FCL_0000093,SRC15_PAN_2021__XY__4c275ffec0a6,SRC15_PAN_2021__XYY__f88515d7fadf,SRC15_PAN_2021__XYC__8efddde56473,-82.143719,8.188633,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,1,12,2021.0,2021.0,11,1,26,2.1666666666666665,2.0,4.5,5.818181818181818,0.7093966617329147,0.699531136297284,0.6715350223546945,0.7604355716878402,0.7357810288432556,0.72526827326918,0.7059756742464305,0.7788327282881875,0.4674096947699109,0.4686131386861313,0.4350858369098712,0.5055542424958639,1,1,1,2,Bosque latifoliado mixto secundario,1,Bosque y vegetación natural,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,2,1,Bosque latifoliado mixto secundario,Bosque y vegetación natural,vegetacion_forestal_esperada,0,0,0,0,none,Senal compatible con bosque o plantacion forestal,0,0,False,True,False,0.7156951618451342,0.9456522260291946,0.46775220877215595,0.7284626845622189,1,0,0,1,media,Revisar en control de calidad temático/espectral,rareza_espectral_por_clase_anio,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
57,S2SR_SRC15_PAN_2021_000011263,SRC15_0000057,PAN_FCL_0000103,SRC15_PAN_2021__XY__52b9317c0d18,SRC15_PAN_2021__XYY__2075bf70ccd7,SRC15_PAN_2021__XYC__c8271325c56d,-81.934944,8.18917,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,11,1,32,2.6666666666666665,2.5,5.0,4.954545454545454,0.7897124560523158,0.789648491558262,0.7222514466070489,0.8678080828190325,0.807004816364911,0.8073022312373226,0.7489090769898181,0.869676153091266,0.5365757011293408,0.5436579231045635,0.4869764534277975,0.5740251156642432,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,False,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
58,S2SR_SRC15_PAN_2021_000011364,SRC15_0000058,PAN_FCL_0000105,SRC15_PAN_2021__XY__2e17b9e76abd,SRC15_PAN_2021__XYY__cb5017ae608b,SRC15_PAN_2021__XYC__fd5096999556,-81.930405,8.189181,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,11,1,32,2.6666666666666665,2.5,4.0,4.2272727272727275,0.7188536103694454,0.7698816144964856,0.5880225510499029,0.8133216272825631,0.739808145756486,0.7882921398665478,0.6188820200414892,0.8263979516281602,0.4670799883735226,0.4944095862622069,0.3940552016985139,0.5198592716578725,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,False,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
63,S2SR_SRC15_PAN_2021_000011465,SRC15_0000063,PAN_FCL_0000147,SRC15_PAN_2021__XY__a4f1e246140f,SRC15_PAN_2021__XYY__780edbe0a6eb,SRC15_PAN_2021__XYC__622d6bb800f3,-81.925871,8.191452,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,11,1,30,2.5,2.0,3.0,3.5,0.7809542493589074,0.7814592045544316,0.6991604509152878,0.8371512814697211,0.7898183426046598,0.7862629974230368,0.7142136478491313,0.845399866339942,0.5199643297319633,0.5323322435132903,0.4345439189189188,0.5925867049674161,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,False,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
74,S2SR_SRC15_PAN_2021_000006401,SRC15_0000074,PAN_FCL_0000174,SRC15_PAN_2021__XY__c57807fbda32,SRC15_PAN_2021__XYY__acbc77c51ebf,SRC15_PAN_2021__XYC__9d66073cde81,-82.164155,8.193096,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,1,12,2021.0,2021.0,11,1,25,2.0833333333333335,2.0,17.0,16.545454545454547,0.5609052644683739,0.6079675119060326,0.3135203013813311,0.7000668466205449,0.5968638061157118,0.6663828669507683,0.3507521773555028,0.7174582815569417,0.3641407131516964,0.3959012585061613,0.2353367125271542,0.469921092686053,1,1,1,13,Playa y arenal natural,5,Suelo desnudo y rasgos naturales,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,no_vegetacion_esperada,0,0,0,0,high,Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,0,True,False,False,-0.7797486140699612,1.4715573024174478,-0.5080150364048008,0.9966930056781442,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
75,S2SR_SRC15_PAN_2021_000006496,SRC15_0000075,PAN_FCL_0000176,SRC15_PAN_2021__XY__a1bc46761862,SRC15_PAN_2021__XYY__b8d42b50d7b2,SRC15_PAN_2021__XYC__8bb985396c38,-82.159617,8.193109,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,1,12,2021.0,2021.0,11,1,27,2.25,2.0,15.0,19.318181818181817,0.5028820748021136,0.4974001475730648,0.3137845985201425,0.7158380874762292,0.5337154534465515,0.5393530977041936,0.3652724968314322,0.7149863760217984,0.34921024940836914,0.3560550405913718,0.1826965305226175,0.4746954076850984,1,1,1,13,Playa y arenal natural,5,Suelo desnudo y rasgos naturales,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,no_vegetacion_esperada,0,0,0,0,high,Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,0,True,False,False,-0.7797486140699612,1.4715573024174478,-0.5080150364048008,0.9966930056781442,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
77,S2SR_SRC15_PAN_2021_000006846,SRC15_0000077,PAN_FCL_0000180,SRC15_PAN_2021__XY__a136344f718f,SRC15_PAN_2021__XYY__0a5ae3dd6ebb,SRC15_PAN_2021__XYC__655c423660db,-82.143732,8.193154,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,11,1,27,2.25,2.0,6.0,6.863636363636363,0.7538384726460645,0.78061998699328,0.5900222277105458,0.8565987004257225,0.774507664518401,0.8001185068141419,0.6211775445002281,0.8696006519967401,0.4766201790550566,0.5017301038062285,0.359151682803135,0.5383067896060353,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,False,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
78,S2SR_SRC15_PAN_2021_000010803,SRC15_0000078,PAN_FCL_0000185,SRC15_PAN_2021__XY__7a2aff3ff56d,SRC15_PAN_2021__XYY__e65cf3124754,SRC15_PAN_2021__XYC__47dd2de368cc,-81.955379,8.193644,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,11,1,32,2.6666666666666665,2.5,2.0,3.090909090909091,0.86600656969342,0.8764808700718586,0.7784455415227878,0.9201324990798672,0.877347043783205,0.8883392357014172,0.7978683272307867,0.926960619320094,0.6230706826121225,0.6326064864550971,0.5560382428588476,0.6690869766723313,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,False,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
85,S2SR_SRC15_PAN_2021_000012397,SRC15_0000085,PAN_FCL_0000216,SRC15_PAN_2021__XY__81a540ed11c6,SRC15_PAN_2021__XYY__1999c2fb8e66,SRC15_PAN_2021__XYC__d74b5bf25071,-81.885027,8.193805,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,12,0,68,5.666666666666667,5.0,3.5,7.041666666666667,0.740314354712491,0.8041719341786444,0.5446608004877629,0.8773731714718717,0.7689828695382883,0.8227097944475286,0.5936564931178935,0.8910859611046911,0.5157560698669567,0.5562630830777469,0.3748935172873839,0.6310675942408025,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,False,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
87,S2SR_SRC15_PAN_2021_000004147,SRC15_0000087,PAN_FCL_0000220,SRC15_PAN_2021__XY__674e638744ad,SRC15_PAN_2021__XYY__6a690b3b055c,SRC15_PAN_2021__XYC__e7f1c96d4f38,-82.279891,8.195006,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,1,12,2021.0,2021.0,10,2,30,2.5,2.0,15.5,18.8,0.4903003868085909,0.4502097903936576,0.2145006337707513,0.7066939192641799,0.528964373070979,0.5091653095026799,0.3412581484119473,0.7193840136885847,0.3827594892269899,0.38235180199628527,0.2500605180343742,0.5253034547152193,1,1,1,13,Playa y arenal natural,5,Suelo desnudo y rasgos naturales,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,13,5,Playa y arenal natural,Suelo desnudo y rasgos naturales,no_vegetacion_esperada,0,0,0,0,high,Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,0,True,False,False,-0.7797486140699612,1.4715573024174478,-0.5080150364048008,0.9966930056781442,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Suelo desnudo/playa con NDVI > 0.45 o NDRE > 0.12,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
95,S2SR_SRC15_PAN_2021_000012080,SRC15_0000095,PAN_FCL_0000265,SRC15_PAN_2021__XY__bbaf84910a4d,SRC15_PAN_2021__XYY__e465862f9ca4,SRC15_PAN_2021__XYC__028ea03e1b66,-81.898649,8.196036,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,1,12,2021.0,2021.0,11,1,68,5.666666666666667,6.0,4.0,4.909090909090909,0.7404356809251005,0.7813377048561198,0.5342422042536468,0.8764387760217485,0.766208402674208,0.8028901957816006,0.5814735471791567,0.8897377479573708,0.5065388054716802,0.5247275075390575,0.3857559749920861,0.5981474199014722,1,1,1,26,Pasto,3,Pasto,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,26,3,Pasto,Pasto,vegetacion_herbacea_estacional,0,0,0,0,medium,Pasto con NDVI bajo o muy alto,0,1,True,False,False,0.4252056828884969,0.9411504739649379,0.27553044066185495,0.6659670380747192,0,0,0,1,media,Revisar en control de calidad temático/espectral,regla_clase_media: Pasto con NDVI bajo o muy alto,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
103,S2SR_SRC15_PAN_2021_000005532,SRC15_0000103,PAN_FCL_0000286,SRC15_PAN_2021__XY__5a03b7b84c42,SRC15_PAN_2021__XYY__62999ea5e5ae,SRC15_PAN_2021__XYC__a8c7cb12b2ea,-82.205015,8.197498,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,27,4,Superficie de agua,Agua y acuicultura,1,12,2021.0,2021.0,11,1,30,2.5,2.0,13.0,13.818181818181818,0.6817384592332538,0.7177476835352816,0.4611793093495961,0.8761206193969031,0.7095900375611767,0.7435233160621761,0.5080426755598593,0.872233118520594,0.48281290367531415,0.5055975033099217,0.330954496651984,0.6194861851672321,1,1,1,27,Superficie de agua,4,Agua y acuicultura,0,0,0,0,Panamá,PAN,MIAMBIENTE - Cultivos Mapa Panamá,15,2021,27,4,Superficie de agua,Agua y acuicultura,agua_baja_vegetacion,0,0,0,0,high,Agua/acuicultura con NDVI > 0.35 o NDRE > 0.08,1,0,True,False,False,-2.065912592269155,2.1511303348230357,-1.765093039763254,1.7414772649807573,0,0,0,1,alta,Priorizar revisión temática y espectral,regla_clase_alta: Agua/acuicultura con NDVI > 0.35 o NDRE > 0.08,1,1,Auditoría espectral preliminar SRC15 2021,Alerta exploratoria; no constituye validación temática definitiva
